Name,Latitude,Longitude,Group
JFK,40.6413,-73.7781,1
LGA,40.7769,-73.8740,1
EWR,40.6895,-74.1745,1
BOS,42.3656,-71.0096,1
PHL,39.8719,-75.2411,1
DCA,38.8521,-77.0377,1
IAD,38.9531,-77.4565,1
BWI,39.1754,-76.6684,1
ORD,41.9742,-87.9073,2
MDW,41.7853,-87.7527,2
PIT,40.4915,-80.2328,2
CVG,39.0481,-84.6672,2
IND,39.7172,-86.2940,2
DFW,32.8998,-97.0403,3
DAL,32.8466,-96.8517,3
IAH,29.9844,-95.3410,3
HOU,29.6454,-95.2789,3
ATL,33.6407,-84.4279,4
MIA,25.7956,-80.2870,4
TPA,27.9755,-82.5330,4
RSW,26.5360,-81.7556,4
CLT,35.2140,-80.9431,4
SEA,47.4502,-122.3088,5
PDX,45.5882,-122.5910,5
SJC,37.3639,-121.9290,5
SFO,37.6213,-122.3790,5
LAX,33.9416,-118.4085,6
BUR,34.2006,-118.3581,6
ONT,34.0563,-117.6011,6
SAN,32.7338,-117.1925,6
YVR,49.1947,-123.1798,7
YYC,51.1139,-114.0200,7
YYZ,43.6772,-79.6248,7
YWG,49.9127,-97.2394,7
